Last Name,First Name,Gender,Birthday,Skill Level,Preferred Practice Location,School,Parent HC,Parent AC,Age Group,Team
Jackson,James,F,2020-06-14,Advanced,Blue Ridge Soccer Park (South Houston),Redwood Preparatory,N,Y,u-5,1
Smith,Lisa,F,2020-04-10,Advanced,Hwy 6 South,Willow Elementary,N,Y,u-5,1
Miller,Susan,F,2020-05-07,Average,Silverlake/East 288,Maple Middle School,N,N,u-5,1
Smith,Linda,M,2020-03-21,Average,Blue Ridge Soccer Park (South Houston),Poplar Academy,N,N,u-5,1
Lopez,Jennifer,M,2020-02-27,Advanced,Far East,Sycamore Elementary,N,Y,u-5,1
Thomas,Thomas,M,2020-08-26,Advanced,Silverlake/East 288,Cedar Academy,N,N,u-5,1
Martinez,Mary,M,2019-09-10,Average,West 288,Willow Elementary,N,N,u-5,1
Moore,Patricia,F,2020-02-21,Beginner,Far East,Magnolia High,N,N,u-5,2
Martin,Robert,F,2020-06-01,Very Good,Silverlake/East 288,Cypress School,N,Y,u-5,2
Gonzalez,Susan,F,2020-03-10,Very Good,West 288,Redwood Preparatory,N,N,u-5,2
Moore,Michael,M,2019-12-17,Average,Blue Ridge Soccer Park (South Houston),Spruce High,Y,N,u-5,2
Rodriguez,Patricia,M,2019-10-09,Very Good,Hwy 6 South,Sycamore Elementary,N,N,u-5,2
Johnson,Elizabeth,M,2019-11-07,Advanced,Silverlake/East 288,Magnolia High,N,N,u-5,2
Miller,Patricia,M,2020-03-12,Average,West 288,Willow Elementary,N,N,u-5,2
Gonzalez,Richard,F,2020-01-01,Advanced,Far East,Cypress School,N,Y,u-5,3
Martinez,Richard,F,2020-08-19,Very Good,Silverlake/East 288,Maple Middle School,N,N,u-5,3
Taylor,Barbara,F,2019-12-10,Beginner,West 288,Aspen Charter School,N,N,u-5,3
Smith,Dorothy,M,2020-06-21,Advanced,Blue Ridge Soccer Park (South Houston),Elm Middle School,N,N,u-5,3
Martinez,Barbara,M,2020-04-14,Very Good,Hwy 6 South,Willow Elementary,N,N,u-5,3
Garcia,Jennifer,M,2020-02-07,Very Good,West 288,Magnolia High,Y,N,u-5,3
Garcia,Patricia,M,2019-10-07,Advanced,West 288,Maple Middle School,N,N,u-5,3
Martin,Mary,F,2020-04-16,Very Good,Hwy 6 South,Birch School,N,Y,u-5,4
Smith,John,F,2020-02-11,Very Good,Silverlake/East 288,Oak Elementary,N,N,u-5,4
Anderson,Robert,F,2019-09-01,Beginner,West 288,Magnolia High,Y,N,u-5,4
Lopez,Robert,M,2019-11-11,Very Good,Far East,Sycamore Elementary,N,N,u-5,4
Thomas,Margaret,M,2020-04-13,Advanced,Hwy 6 South,Birch School,N,N,u-5,4
Jackson,Barbara,M,2019-09-07,Very Good,West 288,Sycamore Elementary,N,Y,u-5,4
Martinez,Barbara,F,2019-11-13,Average,Hwy 6 South,Cedar Academy,N,N,u-5,5
Rodriguez,Elizabeth,F,2020-02-16,Beginner,Silverlake/East 288,Poplar Academy,N,Y,u-5,5
Miller,Margaret,F,2020-05-16,Beginner,West 288,Redwood Preparatory,N,Y,u-5,5
Brown,Thomas,M,2020-07-25,Average,Far East,Elm Middle School,N,N,u-5,5
Moore,Elizabeth,M,2019-12-02,Very Good,Silverlake/East 288,Redwood Preparatory,N,Y,u-5,5
Thomas,David,M,2020-09-11,Beginner,West 288,Willow Elementary,N,N,u-5,5
Wilson,Susan,F,2020-05-22,Average,Hwy 6 South,Oak Elementary,Y,N,u-5,6
Jackson,Patricia,F,2020-05-14,Beginner,Silverlake/East 288,Spruce High,N,N,u-5,6
Anderson,Patricia,F,2020-03-30,Advanced,West 288,Cedar Academy,Y,N,u-5,6
Martin,Barbara,M,2020-01-02,Average,Far East,Willow Elementary,N,N,u-5,6
Williams,Mary,M,2020-03-30,Very Good,Silverlake/East 288,Spruce High,N,Y,u-5,6
Wilson,Robert,M,2019-11-22,Average,West 288,Oak Elementary,N,Y,u-5,6
