Last Name,First Name,Gender,Birthday,Skill Level,Preferred Practice Location,School,Parent HC,Parent AC
Anderson,William,M,2008-12-17,Very Good,Silverlake/East 288,Birch School,N,Y
Gonzalez,Thomas,M,2012-09-19,Advanced,West 288,Birch School,Y,Y
Gonzalez,James,M,2013-09-27,Advanced,Silverlake/East 288,Aspen Charter School,Y,N
Martin,Lisa,M,2016-08-20,Average,Silverlake/East 288,Elm Middle School,N,N
Davis,Richard,M,2015-12-20,Beginner,West 288,Spruce High,N,Y
Rodriguez,Lisa,M,2012-11-27,Beginner,Blue Ridge Soccer Park (South Houston),Maple Middle School,N,N
Gonzalez,Michael,M,2014-12-28,Average,Silverlake/East 288,Chestnut Middle School,N,Y
Davis,Barbara,M,2012-04-28,Very Good,Silverlake/East 288,Willow Elementary,N,N
Miller,Barbara,M,2007-10-11,Average,Silverlake/East 288,Oak Elementary,N,Y
Moore,Linda,M,2008-03-13,Average,Silverlake/East 288,Sycamore Elementary,N,N
Smith,John,F,2020-02-11,Very Good,Silverlake/East 288,Oak Elementary,N,N
Thomas,Joseph,M,2016-03-25,Advanced,West 288,Willow Elementary,N,N
Moore,Margaret,F,2018-04-22,Beginner,Far East,Sycamore Elementary,N,N
Davis,David,M,2010-04-29,Average,West 288,Aspen Charter School,Y,Y
Brown,Michael,M,2010-10-14,Beginner,Far East,Spruce High,N,N
Martin,Barbara,M,2020-01-02,Average,Far East,Willow Elementary,N,N
Garcia,John,F,2014-06-08,Beginner,Silverlake/East 288,Pine High School,N,N
Rodriguez,Robert,M,2014-07-02,Advanced,Hwy 6 South,Chestnut Middle School,N,N
Miller,Robert,M,2015-11-04,Advanced,West 288,Maple Middle School,Y,N
Anderson,Dorothy,M,2017-09-30,Advanced,West 288,Willow Elementary,N,N
Johnson,Susan,M,2011-10-15,Beginner,Hwy 6 South,Spruce High,N,N
Anderson,Barbara,F,2010-02-02,Advanced,Silverlake/East 288,Cedar Academy,N,N
Johnson,James,F,2010-07-11,Advanced,West 288,Maple Middle School,N,N
Brown,William,M,2011-03-06,Very Good,West 288,Oak Elementary,Y,N
Brown,Barbara,F,2013-05-04,Average,Silverlake/East 288,Maple Middle School,N,N
Garcia,Charles,M,2014-08-11,Beginner,Silverlake/East 288,Birch School,N,N
